Wiki link,common_name,botanical_name,status,common name worked,botanical name worked,both worked,search result url,missouribotanicalgarden url,page data
https://en.wikipedia.org/wiki/Syringa_villosa,Late Lilac,Syringa Villosa,,,,,,,
https://en.wikipedia.org/wiki/Syringa_vulgaris,Old Fashioned Purple Lilac,Syringa Vulgaris,,,,,,,
https://en.wikipedia.org/wiki/Syzygium_paniculatum,Brush Cherry,Syzygium Paniculatum,,,,,,,
https://en.wikipedia.org/wiki/Tabebuia_heterophylla,Pink Tabebuia,Tabebuia Heterophylla,,,,,,,
https://en.wikipedia.org/wiki/Tagetes_erecta,African Marigold,Tagetes Erecta,,,,,,,
https://en.wikipedia.org/wiki/Tagetes_lemmonii,Mountain Marigold,Tagetes Lemmonii,,,,,,,
https://en.wikipedia.org/wiki/Tagetes_lucida,Mexican Mint Marigold,Tagetes Lucida,,,,,,,
https://en.wikipedia.org/wiki/Tagetes_patula,French Marigold (Dwarf),Tagetes Patula,,,,,,,
https://en.wikipedia.org/wiki/Taxodium_distichum,Bald Cypress,Taxodium Distichum,,,,,,,
https://en.wikipedia.org/wiki/Tecoma_stans,Esperanza,Tecoma Stans,,,,,,,
https://en.wikipedia.org/wiki/Teucrium_chamaedrys,Germander,Teucrium Chamaedrys,,,,,,,
https://en.wikipedia.org/wiki/Thalia_dealbata,Hardy Water Canna,Thalia Dealbata,,,,,,,
https://en.wikipedia.org/wiki/Thalictrum_aquilegifolium,Columbine Meadow Rue,Thalictrum Aquilegifolium,,,,,,,
https://en.wikipedia.org/wiki/Thermopsis_villosa,Carolina Lupine,Thermopsis Villosa,,,,,,,
https://en.wikipedia.org/wiki/Thevetia_peruviana,Yellow Oleander,Thevetia Peruviana,,,,,,,
https://en.wikipedia.org/wiki/Thrinax_radiata,Florida Thatch Palm,Thrinax Radiata,,,,,,,
https://en.wikipedia.org/wiki/Thuja_plicata,Western Red Cedar,Thuja Plicata,,,,,,,
https://en.wikipedia.org/wiki/Thunbergia_alata,Thunbergia,Thunbergia Alata,,,,,,,
https://en.wikipedia.org/wiki/Thunbergia_erecta,King's Mantle,Thunbergia Erecta,,,,,,,
https://en.wikipedia.org/wiki/Thunbergia_grandiflora,Sky Vine,Thunbergia Grandiflora,,,,,,,
https://en.wikipedia.org/wiki/Thymus_vulgaris,English Thyme,Thymus Vulgaris,,,,,,,
https://en.wikipedia.org/wiki/Tiarella_cordifolia,Foam Flower,Tiarella Cordifolia,,,,,,,
https://en.wikipedia.org/wiki/Tibouchina_heteromalla,Silver leafed Princess Flower,Tibouchina Heteromalla,,,,,,,
https://en.wikipedia.org/wiki/Tibouchina_urvilleana,Princess Flower,Tibouchina Urvilleana,,,,,,,
https://en.wikipedia.org/wiki/Tilia_cordata,Littleleaf Linden,Tilia Cordata,,,,,,,
https://en.wikipedia.org/wiki/Tipuana_tipu,Tipuana Tree,Tipuana Tipu,,,,,,,
https://en.wikipedia.org/wiki/Tithonia_rotundifolia,Mexican Sunflower,Tithonia Rotundifolia,,,,,,,
https://en.wikipedia.org/wiki/Torenia_fournieri,Torenia,Torenia Fournieri,,,,,,,
https://en.wikipedia.org/wiki/Trachycarpus_fortunei,Windmill Palm,Trachycarpus Fortunei,,,,,,,
