Wiki link,common_name,botanical_name,status,common name worked,botanical name worked,both worked,search result url,missouribotanicalgarden url,page data
https://en.wikipedia.org/wiki/Cotoneaster_divaricatus,Spreading Cotoneaster,Cotoneaster Divaricatus,,,,,,,
https://en.wikipedia.org/wiki/Cotoneaster_glaucophyllus,Grey Cotoneaster,Cotoneaster Glaucophyllus,,,,,,,
https://en.wikipedia.org/wiki/Cotoneaster_horizontalis,Rockspray Cotoneaster,Cotoneaster Horizontalis,,,,,,,
https://en.wikipedia.org/wiki/Cotoneaster_salicifolius,Willowleaf Cotoneaster,Cotoneaster Salicifolius,,,,,,,
https://en.wikipedia.org/wiki/Cotyledon_orbiculata,Pig's Ear,Cotyledon Orbiculata,,,,,,,
https://en.wikipedia.org/wiki/Crassula_ovata,Jade Plant,Crassula Ovata,,,,,,,
https://en.wikipedia.org/wiki/Crataegus_crus-galli,Cockspur Hawthorn,Crataegus Crus-galli,,,,,,,
https://en.wikipedia.org/wiki/Crataegus_phaenopyrum,Washington Hawthorn,Crataegus Phaenopyrum,,,,,,,
https://en.wikipedia.org/wiki/Crocus_vernus,Large Flowering Crocus,Crocus Vernus,,,,,,,
https://en.wikipedia.org/wiki/Crossandra_infundibuliformis,Crossandra,Crossandra Infundibuliformis,,,,,,,
https://en.wikipedia.org/wiki/Cryptomeria_japonica,Japanese Cryptomeria,Cryptomeria Japonica,,,,,,,
https://en.wikipedia.org/wiki/Cucumis_melo,Cantaloupe,Cucumis Melo,,,,,,,
https://en.wikipedia.org/wiki/Cucumis_sativus,Cucumber,Cucumis Sativus,,,,,,,
https://en.wikipedia.org/wiki/Cucurbita_pepo,Grey Zucchini,Cucurbita Pepo,,,,,,,
https://en.wikipedia.org/wiki/Cucurbita_pepo var. ovifera,Large and Small Ornamental Gourd Mix,Cucurbita Pepo var. ovifera,,,,,,,
https://en.wikipedia.org/wiki/Cuminum_cyminum,Cumin,Cuminum Cyminum,,,,,,,
https://en.wikipedia.org/wiki/Cupaniopsis_anacardioides,Carrotwood Tree,Cupaniopsis Anacardioides,,,,,,,
https://en.wikipedia.org/wiki/Cuphea_hyssopifolia,Mexican Heather,Cuphea Hyssopifolia,,,,,,,
https://en.wikipedia.org/wiki/Cuphea_ignea,Cigar Plant,Cuphea Ignea,,,,,,,
https://en.wikipedia.org/wiki/Cupressus_sempervirens,Italian Cypress,Cupressus Sempervirens,,,,,,,
https://en.wikipedia.org/wiki/Cyathea_cooperi,Australian Tree Fern,Cyathea Cooperi,,,,,,,
https://en.wikipedia.org/wiki/Cycas_revoluta,Sago Palm,Cycas Revoluta,,,,,,,
https://en.wikipedia.org/wiki/Cyclamen_persicum,Cyclamen,Cyclamen Persicum,,,,,,,
https://en.wikipedia.org/wiki/Cydonia_oblonga,Quince,Cydonia Oblonga,,,,,,,
https://en.wikipedia.org/wiki/Cymbopogon_citratus,Lemon Grass,Cymbopogon Citratus,,,,,,,
https://en.wikipedia.org/wiki/Cynara_scolymus,Artichoke,Cynara Scolymus,,,,,,,
https://en.wikipedia.org/wiki/Cyperus_papyrus,Papyrus,Cyperus Papyrus,,,,,,,
https://en.wikipedia.org/wiki/Dalbergia_sissoo,Indian Rosewood,Dalbergia Sissoo,,,,,,,
https://en.wikipedia.org/wiki/Dasylirion_wheeleri,Desert Spoon,Dasylirion Wheeleri,,,,,,,
https://en.wikipedia.org/wiki/Davallia_trichomanoides,Squirrel's Foot Fern,Davallia Trichomanoides,,,,,,,
https://en.wikipedia.org/wiki/Decumaria_barbara,Wild Hydrangea Vine,Decumaria Barbara,,,,,,,
https://en.wikipedia.org/wiki/Delonix_regia,Royal Poinciana,Delonix Regia,,,,,,,
https://en.wikipedia.org/wiki/Delphinium_grandiflorum,Asian Larkspur,Delphinium Grandiflorum,,,,,,,
https://en.wikipedia.org/wiki/Deschampsia_flexuosa,Crinkled Hair Grass,Deschampsia Flexuosa,,,,,,,
https://en.wikipedia.org/wiki/Deutzia_gracilis,Slender Deutzia,Deutzia Gracilis,,,,,,,
https://en.wikipedia.org/wiki/Dianthus_barbatus,Sweet William,Dianthus Barbatus,,,,,,,
https://en.wikipedia.org/wiki/Dianthus_deltoides,Maiden Pink Brilliant,Dianthus Deltoides,,,,,,,
https://en.wikipedia.org/wiki/Dicentra_eximia,Fringed Bleeding Heart,Dicentra Eximia,,,,,,,
https://en.wikipedia.org/wiki/Dichondra_micrantha,Dichondra,Dichondra Micrantha,,,,,,,
https://en.wikipedia.org/wiki/Dicksonia_antarctica,New Zealand Tree Fern,Dicksonia Antarctica,,,,,,,
https://en.wikipedia.org/wiki/Diervilla_lonicera,Lowbush Honeysuckle,Diervilla Lonicera,,,,,,,
https://en.wikipedia.org/wiki/Dimocarpus_longan,Longan,Dimocarpus Longan,,,,,,,
https://en.wikipedia.org/wiki/Diospyros_virginiana,American Persimmon,Diospyros Virginiana,,,,,,,
https://en.wikipedia.org/wiki/Distictis_buccinatoria,Scarlet Trumpet Vine,Distictis Buccinatoria,,,,,,,
https://en.wikipedia.org/wiki/Dodonaea_viscosa,Hopseed Bush,Dodonaea Viscosa,,,,,,,
https://en.wikipedia.org/wiki/Dombeya_wallichii,Dombeya,Dombeya Wallichii,,,,,,,
https://en.wikipedia.org/wiki/Dracaena_reflexa#Dracaena_reflexa_var._angustifolia,Dracaena Marginata,Dracaena Marginata,,,,,,,
https://en.wikipedia.org/wiki/Drosanthemum_hispidum,Rosea Ice Plant,Drosanthemum Hispidum,,,,,,,
https://en.wikipedia.org/wiki/Dryopteris_carthusiana,Toothed Wood Fern,Dryopteris Carthusiana,,,,,,,
https://en.wikipedia.org/wiki/Dryopteris_filix-mas,Common Male Fern,Dryopteris Filix-mas,,,,,,,
https://en.wikipedia.org/wiki/Dryopteris_intermedia,Fancy Fern,Dryopteris Intermedia,,,,,,,
https://en.wikipedia.org/wiki/Dryopteris_marginalis,Eastern Wood Fern,Dryopteris Marginalis,,,,,,,
https://en.wikipedia.org/wiki/Duranta_erecta,Brazilian Sky Flower,Duranta Erecta,,,,,,,
https://en.wikipedia.org/wiki/Durio_zibethinus,Durian,Durio Zibethinus,,,,,,,
https://en.wikipedia.org/wiki/Dypsis_lutescens,Areca Palm,Dypsis Lutescens,,,,,,,
https://en.wikipedia.org/wiki/Elaeagnus_angustifolia,Russian Olive,Elaeagnus Angustifolia,,,,,,,
https://en.wikipedia.org/wiki/Elaeagnus_pungens,Silverthorn,Elaeagnus Pungens,,,,,,,
https://en.wikipedia.org/wiki/Elymus_magellanicus,Blue Wheatgrass,Elymus Magellanicus,,,,,,,
